,Make,Colour,Odometer,Doors,Price
253,Toyota,Black,140756,4.0,26954.0
254,Nissan,Blue,131253,4.0,18182.0
255,Nissan,Blue,124116,4.0,5386.0
257,Nissan,Red,128235,4.0,8327.0
258,Nissan,Red,157169,4.0,16042.814736842105
259,Honda,Red,61504,4.0,12046.0
260,Toyota,White,242084,4.0,13111.0
261,Toyota,White,61623,4.0,35760.0
262,Honda,Green,46085,4.0,29681.0
263,Honda,White,67599,4.0,10516.0
264,Toyota,White,59222,4.0,32676.0
266,Honda,Black,237861,4.0,10374.0
267,Honda,Blue,136392,4.0,12146.0
268,BMW,White,29534,5.0,28414.0
269,Nissan,Green,190794,3.0,17917.0
270,Honda,Red,223685,4.0,9379.0
271,Honda,White,85975,4.0,27640.0
272,BMW,White,23996,5.0,48239.0
273,Toyota,Blue,85473,4.0,22002.0
274,Toyota,White,236674,4.0,15234.0
275,Nissan,Blue,193135,3.0,13005.0
276,Honda,Red,131253,4.0,28983.0
277,BMW,Blue,245427,5.0,17520.0
278,Honda,Blue,106494,4.0,17858.0
279,Toyota,White,196840,4.0,10646.0
280,Nissan,White,116279,4.0,16179.0
281,BMW,Blue,131253,3.0,16391.0
282,Honda,White,195829,4.0,17866.0
283,Toyota,Blue,239004,4.0,8566.0
284,Honda,Red,238609,4.0,5052.0
285,Toyota,Green,44436,4.0,17317.0
286,Honda,White,224292,4.0,6431.0
287,Nissan,White,43540,4.0,9263.0
288,Honda,Green,37606,4.0,13255.0
289,Nissan,White,215130,4.0,11768.0
290,Toyota,Black,198564,4.0,7708.0
291,Honda,Red,11035,4.0,10602.0
292,Toyota,Red,197616,4.0,14089.0
293,Honda,White,171260,4.0,18524.0
294,Toyota,White,20985,4.0,33353.0
295,Honda,White,246079,4.0,10872.0
296,Nissan,White,133441,4.0,21921.0
297,Toyota,Red,162665,4.0,7042.0
298,Toyota,Blue,44815,4.0,8460.0
299,Toyota,Black,103472,4.0,15184.0
300,Nissan,White,234161,4.0,13200.0
301,Toyota,Blue,222542,4.0,8834.0
302,Honda,Blue,230570,4.0,10676.0
303,Toyota,White,134862,4.0,12353.0
304,Toyota,White,55828,4.0,23311.0
305,Honda,White,61163,4.0,18375.0
306,Honda,Red,108681,4.0,10740.0
307,Nissan,Blue,174825,3.0,4863.0
308,BMW,Red,203517,5.0,26846.0
309,Toyota,Green,180760,4.0,10380.0
310,Toyota,Blue,52054,4.0,10888.0
311,Toyota,Blue,118308,4.0,20237.0
312,Toyota,White,12141,4.0,17556.0
313,BMW,Red,131253,5.0,32887.0
314,Nissan,Blue,104355,4.0,18058.0
315,Toyota,White,230943,4.0,13560.0
316,Toyota,White,131253,4.0,16042.814736842105
317,Honda,White,29514,4.0,19357.0
318,Honda,Green,94062,4.0,27057.0
319,Nissan,White,131253,3.0,23868.0
321,Honda,Red,163045,4.0,17035.0
322,Toyota,Blue,165301,4.0,10429.0
323,Toyota,Blue,161572,4.0,15088.0
324,Toyota,Green,151291,4.0,6200.0
325,Toyota,Blue,234051,4.0,11616.0
326,Toyota,Blue,232912,4.0,6029.0
327,BMW,Blue,130817,3.0,31392.0
328,Toyota,Blue,135080,4.0,13652.0
329,Nissan,Blue,197823,3.0,17860.0
330,Toyota,Red,170466,4.0,3974.0
331,Toyota,White,112292,4.0,24834.0
332,Nissan,Blue,195494,4.0,6460.0
333,Nissan,Blue,111015,3.0,7252.0
334,Honda,Blue,247869,4.0,11982.0
335,Toyota,Black,188514,4.0,16042.814736842105
336,Toyota,Green,165225,4.0,10841.0
337,Honda,Black,175075,4.0,16042.814736842105
338,Honda,White,187663,4.0,13433.0
339,Toyota,Red,65435,4.0,24949.0
340,Honda,White,80664,4.0,20981.0
341,Toyota,White,119439,4.0,17340.0
343,Honda,Red,144093,4.0,17036.0
345,Toyota,White,127161,4.0,4871.0
346,Honda,White,40749,4.0,25649.0
347,Nissan,Blue,192557,4.0,6672.0
348,Toyota,White,117571,4.0,23719.0
349,BMW,White,176864,5.0,24938.0
350,Honda,Blue,191658,4.0,17597.0
351,Toyota,Black,132103,4.0,10439.0
352,Honda,Red,47933,4.0,10301.0
353,Toyota,White,50756,4.0,11738.0
354,Honda,Blue,196835,4.0,15623.0
355,Honda,Blue,106744,4.0,16223.0
357,Nissan,White,131253,4.0,3974.0
358,BMW,Blue,103283,3.0,22176.0
359,Toyota,White,134415,4.0,5125.0
360,Honda,Black,155682,4.0,9992.0
361,Toyota,White,164093,4.0,3893.0
362,Toyota,Blue,119745,4.0,23902.0
364,Honda,White,145850,4.0,17876.0
365,Nissan,White,24420,4.0,14198.0
366,Honda,White,213324,4.0,8704.0
367,Honda,White,34822,4.0,14613.0
368,Toyota,Red,180473,4.0,6568.0
370,Honda,White,71283,4.0,7497.0
372,Honda,Red,178774,4.0,15047.0
373,Toyota,Blue,112223,4.0,4753.0
374,Toyota,Blue,198570,4.0,17284.0
375,Toyota,White,214493,4.0,12434.0
376,Nissan,White,64362,4.0,28993.0
377,Honda,Blue,104304,4.0,23017.0
378,Nissan,Blue,71527,4.0,17961.0
379,Honda,White,220876,4.0,16042.814736842105
380,Nissan,Blue,76412,4.0,13492.0
381,Toyota,Blue,243255,4.0,7378.0
383,Honda,White,144088,4.0,5838.0
384,Honda,Blue,196526,4.0,6242.0
385,Honda,Red,89291,4.0,13703.0
386,Nissan,Blue,18044,3.0,14227.0
387,Nissan,White,88908,4.0,22155.0
388,Honda,White,24358,4.0,26675.0
389,Toyota,White,175955,4.0,7598.0
390,Toyota,White,131253,4.0,8500.0
391,Toyota,White,177571,4.0,14318.0
392,Toyota,White,227387,4.0,3895.0
393,Toyota,Blue,131253,4.0,10834.0
394,BMW,Blue,85320,3.0,16517.0
396,Toyota,White,210123,4.0,11731.0
397,Toyota,White,193629,4.0,12745.0
398,Toyota,White,131253,4.0,16042.814736842105
399,BMW,Blue,93792,3.0,35264.0
400,Toyota,Red,157432,4.0,8260.0
401,Honda,Black,226391,4.0,15879.0
402,Honda,Blue,152547,4.0,10259.0
403,Nissan,Blue,10954,4.0,30439.0
404,Toyota,White,83594,4.0,13648.0
405,BMW,Blue,142189,3.0,23336.0
406,Honda,Blue,210446,4.0,3594.0
407,Honda,Blue,172266,4.0,18327.0
408,Toyota,Blue,169449,4.0,10855.0
410,Toyota,Blue,244204,4.0,6121.0
411,BMW,Blue,72575,5.0,41294.0
412,BMW,Blue,55789,3.0,26677.0
413,Toyota,Red,240937,4.0,16042.814736842105
414,Toyota,Red,193006,4.0,5101.0
415,Honda,White,10953,4.0,16636.0
416,Honda,White,18933,4.0,8014.0
417,Honda,Blue,37625,4.0,6241.0
418,Nissan,White,176135,3.0,17127.0
419,Honda,Blue,234760,4.0,11411.0
421,Toyota,Blue,81864,4.0,29293.0
422,Toyota,White,149466,4.0,16042.814736842105
423,Nissan,Black,141109,4.0,16042.814736842105
424,Toyota,White,189194,4.0,4946.0
425,Toyota,Blue,42480,4.0,19720.0
426,Toyota,White,146307,4.0,13508.0
427,BMW,Red,131587,5.0,15652.0
428,Toyota,Blue,98890,4.0,26926.0
429,Toyota,Blue,188658,4.0,14312.0
430,Nissan,Blue,45668,4.0,13310.0
431,BMW,Green,162607,5.0,14074.0
432,Toyota,White,149989,4.0,5260.0
433,Honda,Red,169579,4.0,8089.0
434,Toyota,White,36463,4.0,16805.0
435,Honda,Red,28625,4.0,8753.0
436,BMW,Red,100060,5.0,38060.0
437,Nissan,White,43600,4.0,10030.0
438,Toyota,Blue,52196,4.0,11076.0
439,Toyota,Black,59249,4.0,9108.0
440,Honda,Blue,127589,4.0,15610.0
441,Nissan,Green,90446,4.0,13251.0
442,Nissan,Black,59335,4.0,28354.0
443,Toyota,Blue,71306,4.0,23747.0
444,Honda,Blue,73286,4.0,19629.0
445,Toyota,Black,121160,4.0,8380.0
446,Nissan,White,63355,4.0,22989.0
447,Toyota,Blue,98619,4.0,33324.0
448,Toyota,Blue,200597,4.0,13147.0
449,Honda,White,146703,4.0,20642.0
450,Honda,Blue,133117,4.0,10344.0
451,BMW,Black,192316,5.0,25490.0
452,Honda,Blue,127157,4.0,7682.0
454,Honda,White,193179,4.0,7827.0
455,Honda,White,134949,4.0,17622.0
456,Toyota,White,216257,4.0,17171.0
457,Honda,Red,111727,4.0,10101.0
458,Toyota,Red,86480,4.0,16319.0
459,Toyota,Red,73360,4.0,18653.0
460,Honda,White,164703,4.0,12201.0
461,BMW,White,143651,5.0,22597.0
462,Toyota,Black,58773,4.0,20893.0
463,Toyota,White,72118,4.0,16892.0
464,Honda,White,14700,4.0,26973.0
465,Toyota,White,117637,4.0,17256.0
466,Nissan,Red,129820,4.0,6960.0
467,Honda,White,18246,4.0,21684.0
468,Toyota,White,131253,4.0,5094.0
469,Honda,White,92883,4.0,14931.0
470,Toyota,Green,119394,4.0,11773.0
471,Nissan,Black,178899,4.0,5222.0
472,Toyota,White,172018,4.0,10196.0
473,Toyota,Blue,98971,4.0,16226.0
474,Nissan,Red,215026,4.0,16042.814736842105
475,Honda,Red,33261,4.0,28104.0
476,Toyota,White,185742,4.0,16865.0
477,Toyota,Blue,119311,4.0,26816.0
478,Nissan,Blue,131253,4.0,9545.0
479,Nissan,White,246825,3.0,13647.0
480,Toyota,Black,225991,4.0,16042.814736842105
481,Toyota,Red,159925,4.0,14028.0
482,Nissan,White,51004,4.0,31633.0
483,Toyota,White,216076,4.0,12152.0
484,Toyota,White,231683,4.0,16001.0
485,Toyota,Blue,135237,4.0,18358.0
486,Nissan,White,193389,4.0,7443.0
487,Toyota,White,143104,4.0,4589.0
488,BMW,White,146911,3.0,17076.0
489,Toyota,White,199985,4.0,21007.0
491,Toyota,Red,114202,4.0,22505.0
492,Toyota,White,66150,4.0,25111.0
493,Honda,Blue,42420,4.0,7376.0
494,Nissan,Blue,111256,4.0,10919.0
495,BMW,Black,181572,5.0,25763.0
497,Nissan,Red,209976,4.0,4200.0
498,Honda,Green,81764,4.0,29004.0
499,Nissan,White,82429,4.0,8979.0
500,Honda,Black,221461,4.0,10450.0
501,Honda,White,47712,4.0,18029.0
503,Toyota,Blue,131253,4.0,19175.0
504,Toyota,Black,222813,4.0,16042.814736842105
505,Toyota,White,107410,4.0,24990.0
506,Toyota,Blue,14645,4.0,21326.0
507,Toyota,Blue,67120,4.0,16042.814736842105
508,Nissan,Red,131253,4.0,17144.0
509,Nissan,White,26634,4.0,12024.0
510,Toyota,Red,118706,4.0,20705.0
511,BMW,Green,209340,5.0,29140.0
512,Nissan,Blue,38233,4.0,23483.0
513,Toyota,Blue,131253,4.0,13213.0
514,Nissan,White,152215,4.0,16519.0
515,Honda,Blue,30120,4.0,6357.0
516,Toyota,Red,68125,4.0,8105.0
517,Toyota,Blue,207048,4.0,10663.0
518,Honda,White,126854,4.0,12311.0
519,Honda,Red,236800,4.0,16042.814736842105
520,Nissan,Blue,180739,4.0,19389.0
521,Nissan,Red,196130,3.0,13707.0
522,Honda,Green,164493,4.0,13866.0
523,Honda,Blue,207344,4.0,4941.0
524,Nissan,White,228090,4.0,16366.0
525,Toyota,Blue,180156,4.0,14086.0
526,Toyota,White,110362,4.0,13560.0
529,BMW,Blue,69358,5.0,47260.0
530,Toyota,White,124057,4.0,18919.0
531,Toyota,Blue,126078,4.0,14442.0
532,Nissan,Blue,224410,4.0,13244.0
533,Toyota,Green,221725,4.0,6742.0
534,Honda,Blue,131253,4.0,22042.0
535,Toyota,White,35673,4.0,35683.0
536,Honda,White,205597,4.0,4239.0
537,Honda,Blue,76579,4.0,20511.0
538,Nissan,White,137477,4.0,16042.814736842105
539,Honda,White,120283,4.0,19376.0
540,Honda,Black,51328,4.0,10675.0
541,Toyota,Black,218253,4.0,13176.0
542,Toyota,Blue,39311,4.0,17520.0
543,Toyota,White,210193,4.0,5653.0
544,Honda,Black,27788,4.0,18919.0
546,Honda,Black,111097,4.0,16072.0
547,Honda,Red,16079,4.0,9954.0
548,Toyota,Blue,89641,4.0,33463.0
549,BMW,Blue,72663,5.0,40032.0
550,Toyota,Red,86284,4.0,22542.0
551,Honda,White,95481,4.0,8687.0
552,Honda,White,214405,4.0,7982.0
553,Honda,White,52563,4.0,26078.0
554,Honda,White,113704,4.0,23280.0
555,Honda,Blue,73869,4.0,27744.0
556,Honda,White,95579,4.0,11135.0
557,Honda,Black,45152,4.0,22825.0
558,Honda,Green,194035,4.0,11648.0
559,Toyota,Blue,220679,4.0,15508.0
560,Honda,Red,102032,4.0,19036.0
561,Toyota,Green,58938,4.0,6602.0
562,Toyota,White,131253,4.0,14021.0
563,Toyota,Blue,193276,4.0,10522.0
564,Nissan,Blue,189182,4.0,18834.0
565,Toyota,White,197393,4.0,20879.0
566,Honda,White,42844,4.0,29145.0
567,Toyota,White,122266,4.0,17664.0
568,Toyota,Red,240017,4.0,13728.0
569,Toyota,Green,88598,4.0,19373.0
570,Toyota,Blue,216563,4.0,7903.0
571,Honda,Black,123924,4.0,21236.0
572,Toyota,White,185455,4.0,16220.0
573,Nissan,Green,163080,4.0,7973.0
575,Honda,Blue,142403,4.0,6803.0
576,Nissan,White,127386,4.0,8461.0
577,Toyota,White,142633,4.0,10402.0
578,Toyota,Blue,215955,4.0,7994.0
579,Nissan,Blue,46842,4.0,28655.0
580,Nissan,Red,131253,4.0,13127.0
581,Honda,Black,222786,4.0,16042.814736842105
582,Honda,White,130494,4.0,5513.0
583,Toyota,White,131253,4.0,20521.0
584,BMW,White,96224,4.0,45720.0
585,Honda,Blue,176566,4.0,13257.0
586,Toyota,Blue,171373,4.0,9529.0
587,Toyota,Green,241507,4.0,7724.0
588,Honda,Red,86427,4.0,30854.0
589,Toyota,White,210863,4.0,12112.0
590,Toyota,White,216647,4.0,10207.0
591,BMW,Blue,35837,3.0,33198.0
592,Honda,Blue,166595,4.0,5138.0
593,Honda,Blue,68223,4.0,27530.0
594,Honda,Blue,223005,4.0,14431.0
595,Honda,Black,61120,4.0,30374.0
596,Honda,Blue,83357,4.0,22263.0
597,Nissan,White,20315,4.0,8137.0
598,Toyota,Blue,152042,4.0,20590.0
599,Honda,Black,213154,4.0,8192.0
600,Nissan,White,24741,4.0,20840.0
601,Toyota,Blue,247601,4.0,11162.0
602,Honda,Blue,40912,4.0,26885.0
603,Nissan,Black,218697,4.0,5157.0
604,Toyota,White,26655,4.0,11749.0
605,Honda,White,42137,4.0,16042.814736842105
606,Toyota,Black,71463,4.0,31206.0
607,Toyota,Blue,149270,4.0,21953.0
608,Honda,Blue,66613,4.0,20450.0
609,Toyota,White,48674,4.0,16042.814736842105
610,Honda,White,123898,4.0,20622.0
611,Toyota,Black,136271,4.0,20242.0
612,Honda,Black,119033,4.0,16774.0
613,Honda,Blue,50475,4.0,8164.0
614,Honda,Red,42379,4.0,25382.0
615,Honda,Black,147889,4.0,8916.0
616,Nissan,Green,76610,3.0,16320.0
617,Nissan,Blue,249860,4.0,14524.0
618,Honda,Red,113538,4.0,16042.814736842105
619,Honda,White,152212,4.0,10580.0
620,BMW,White,26531,5.0,19408.0
621,Toyota,White,137628,4.0,18142.0
622,Toyota,Blue,33461,4.0,16042.814736842105
623,Honda,White,178134,4.0,8870.0
624,Toyota,White,74919,4.0,7183.0
625,Honda,Green,165101,4.0,10377.0
626,Nissan,White,235952,4.0,13272.0
627,Nissan,Black,77474,4.0,22924.0
628,Honda,White,121416,4.0,17690.0
629,Honda,Blue,196507,4.0,17065.0
630,Toyota,Blue,95993,4.0,28073.0
631,Nissan,Green,87701,4.0,29656.0
632,BMW,White,192673,5.0,23377.0
633,Nissan,White,205155,3.0,10287.0
634,BMW,White,242935,3.0,14767.0
635,Honda,Red,101835,4.0,16110.0
636,Toyota,Black,26798,4.0,28276.0
637,Toyota,Red,88571,4.0,21431.0
638,Toyota,Red,49807,4.0,25775.0
639,Nissan,White,71103,4.0,6884.0
640,Honda,White,237209,4.0,10494.0
641,Toyota,Green,37703,4.0,16042.814736842105
642,Toyota,White,26191,4.0,15372.0
643,Toyota,Blue,213344,4.0,16042.814736842105
644,Honda,Blue,28561,4.0,14204.0
645,Toyota,Blue,131253,4.0,10024.0
646,Honda,Blue,120448,4.0,12392.0
647,Nissan,White,19265,4.0,21451.0
648,Honda,White,40134,4.0,16273.0
649,Toyota,Black,86696,4.0,30320.0
650,Toyota,Blue,23637,4.0,16042.814736842105
651,Nissan,Red,166895,4.0,10061.0
654,Toyota,White,202435,4.0,16867.0
655,Toyota,White,72725,4.0,25735.0
656,Toyota,Blue,63501,4.0,15260.0
657,Toyota,Black,228063,4.0,16308.0
658,Nissan,Red,143204,3.0,16719.0
659,Toyota,Green,213077,4.0,16042.814736842105
660,BMW,Blue,209466,5.0,16042.814736842105
661,BMW,Red,33320,3.0,27888.0
662,Honda,White,236432,4.0,16042.814736842105
663,Honda,Red,41846,4.0,10241.0
664,BMW,Red,38775,5.0,16042.814736842105
665,Toyota,Blue,226217,4.0,15413.0
666,Honda,White,211154,4.0,9402.0
667,Toyota,White,248416,4.0,14717.0
668,Nissan,Red,131253,4.0,15154.0
669,Nissan,Green,233054,4.0,8930.0
671,Toyota,Blue,84787,4.0,28414.0
672,Toyota,White,176172,4.0,18923.0
673,Nissan,Black,170777,4.0,9649.0
674,BMW,White,235774,4.0,29401.0
675,Honda,Blue,161140,4.0,11364.0
676,Toyota,Blue,189781,4.0,10352.0
677,Honda,White,117907,4.0,16908.0
678,Toyota,Green,213861,4.0,3751.0
679,Toyota,Red,248634,4.0,9919.0
